,Emotion,Precision,Recall,F1
0,affection,0.7890547263681592,0.7376744186046512,0.7625
1,anticipation,0.49489795918367346,0.47549019607843135,0.48500000000000004
2,anxious,0.6666666666666666,0.6,0.631578947368421
3,confusion,0.47115384615384615,0.35251798561151076,0.4032921810699589
4,curiosity,0.5,0.5579399141630901,0.5273833671399594
5,delight,0.7492877492877493,0.7146739130434783,0.7315716272600835
6,desire,0.5918367346938775,0.3918918918918919,0.4715447154471545
7,frustration,0.5949008498583569,0.43478260869565216,0.5023923444976076
8,melancholy,0.6802721088435374,0.625,0.6514657980456027
9,mortification,0.6026785714285714,0.2928416485900217,0.39416058394160586
10,neutral,0.6380368098159509,0.5828144458281445,0.6091767002928734
11,relief,0.5,0.42857142857142855,0.4615384615384615
12,respect,0.62,0.2852760736196319,0.39075630252100846
13,revelation,0.4716981132075472,0.24875621890547264,0.32573289902280134
14,weighted-average,0.6467387351914726,0.5421042933480744,0.5825586304134089
